Is	0.00000000	0.00080039	0.02077627	0.00416034	0.01129653	0.01462361	0.02100756	0.01787148	0.01976647	0.01933050	0.02258445	0.02465955	0.02787968	0.02163062	0.03529412	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
rI	0.00000000	0.01580130	0.01366996	0.01235020	0.01026958	0.01364216	0.01172422	0.01209267	0.00900557	0.01107968	0.00883739	0.00920132	0.01100514	0.00831947	0.00784314	0.03703704	0.02439024	0.00000000	0.00000000	0.00000000
[p	0.07975523	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
In	0.00000000	0.03250626	0.00966458	0.00429117	0.01235202	0.00948736	0.00708255	0.00433410	0.00312905	0.00271099	0.00294580	0.00184026	0.00073368	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@R	0.00000000	0.00002582	0.00015505	0.00264273	0.01914135	0.02080675	0.01532552	0.02156349	0.02381134	0.02380952	0.01256874	0.01251380	0.01100514	0.00499168	0.00392157	0.01851852	0.00000000	0.00000000	0.00000000	0.00000000
nt	0.00000000	0.00000000	0.00987131	0.01449579	0.00447868	0.01040338	0.01004362	0.01615924	0.01907960	0.02215936	0.01767478	0.02134707	0.01027146	0.00665557	0.00392157	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
d]	0.00000000	0.00005164	0.00028425	0.00573028	0.00798745	0.01203913	0.01968709	0.02530901	0.02434557	0.02251297	0.02258445	0.02061097	0.01320616	0.01331115	0.02352941	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
Ik	0.00000000	0.00526710	0.00855341	0.00413418	0.00958494	0.01076324	0.01304470	0.01599872	0.01869801	0.01909477	0.01551453	0.01729849	0.00880411	0.00499168	0.00784314	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
n]	0.00000000	0.00000000	0.00038762	0.00716940	0.00519184	0.01439461	0.01776640	0.02316871	0.02106388	0.02015559	0.01728201	0.01509017	0.02127660	0.01497504	0.00392157	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[d	0.05881594	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[I	0.05863520	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
t@	0.00000000	0.00082621	0.00121453	0.01431263	0.01329340	0.00948736	0.01056380	0.01417946	0.01297413	0.00907591	0.00648075	0.00588885	0.00366838	0.00499168	0.00392157	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[b	0.05687950	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
nI	0.00000000	0.00198807	0.00346271	0.01140824	0.00716018	0.01174469	0.01076387	0.01021992	0.01152408	0.01190476	0.01119403	0.01214575	0.00586941	0.01164725	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
dI	0.00000000	0.02481217	0.00144710	0.00957664	0.00713165	0.00461282	0.00556200	0.00460164	0.00236587	0.00271099	0.00137471	0.00257637	0.00073368	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[m	0.05215460	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[r	0.05176732	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[f	0.05006326	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@r	0.00000000	0.00087785	0.00454804	0.00434350	0.01517615	0.01158112	0.01016366	0.00845417	0.00862398	0.00766148	0.00549882	0.00552079	0.00513573	0.00166389	0.01568627	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
P]	0.00000000	0.00000000	0.00000000	0.00049715	0.01146769	0.00886577	0.01036373	0.01091551	0.01671373	0.02404526	0.03358209	0.03018035	0.03595011	0.01996672	0.01568627	0.02777778	0.02439024	0.00000000	0.00000000	0.00000000
k]	0.00000000	0.00000000	0.00020673	0.00727406	0.00721723	0.00716459	0.01092393	0.01466103	0.01465313	0.01614804	0.01728201	0.02024291	0.02714600	0.01497504	0.01176471	0.00925926	0.02439024	0.00000000	0.00000000	0.00000000
r@	0.00000000	0.00030983	0.00571089	0.00834685	0.00761660	0.01141754	0.01080389	0.00920327	0.00778448	0.00719000	0.00451689	0.00147221	0.00073368	0.00332779	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
IN	0.00000000	0.00043892	0.00428963	0.00248574	0.01309371	0.01223542	0.00836301	0.01048745	0.01091353	0.00836869	0.00589159	0.00184026	0.00586941	0.00499168	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
k@	0.00000000	0.01665333	0.00064603	0.00936731	0.00533447	0.00412209	0.00424153	0.00577880	0.00656338	0.00660066	0.00824823	0.00404858	0.00513573	0.00166389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@l	0.00000000	0.00160078	0.00483229	0.00319221	0.01086864	0.00870220	0.00900324	0.00663492	0.00923453	0.01131542	0.01649647	0.01766654	0.01687454	0.02329451	0.01176471	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
